 111 ; 2 копейки ; 1775 ; КМ "Сибирь" ; Cu ; VF+ ; 13 ; Участник № 9 ; 2200 
 112 ; Копейка ; 1775 ; КМ "Сибирь" ; Cu ; VF ; 7 ; Участник № 523 ; 2400 
 113 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; AU ; 19 ; kor ; 30000 
 114 ; Полтина (Петров-5, Ильин-4р) ; 1776 ; СПБ ЯЧ ; Ag ; VF ; 23 ; finger ; 30000 
 115 ; 5 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF-XF ; 17 ; Участник № 9 ; 14000 
 116 ; 5 копеек ; 1776? ; КМ "Сибирь" ; Cu ; VF+ ; 3 ; кабан ; 3366 
 117 ; 2 копейки ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 19 ; Участник № 9 ; 2600 
 118 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; AU ; 37 ; Участник № 51 ; 32000 
 119 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF- ; 15 ; 4А ; 4305 
 120 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 11 ; кабан ; 7854 
 121 ; Копейка. Крым. Шахин-Гирей (5ый год правления) ; 1191 л.х (1777г) ;  ; Cu ; VF+ ; 5 ; Седой ; 2000 
 122 ; Полтина ; 1778 ; СПБ ФЛ ; Ag ; VF- ; 35 ; Участник № 1 ; 23000 
 123 ; 15 копеек (Петров-5р, Ильин-4р) ; 1778 ; СПБ ; Ag ; XF+ ; 35 ; Участник № 51 ; 22000 
 124 ; 5 копеек ; 1778 ; ЕМ ; Cu ; F-VF ; 11 ; 4А ; 1011 
 125 ; 15 копеек ; 1779 ; СПБ ; Ag ; XF+ ; 13 ; Участник № 51 ; 12000 
