 114 ; Копейка ; 1790 ; ЕМ ; Cu ; VF+ ; 11 ; Участник № 9 ; 600 
 115 ; 5 копеек ; 1791 ; АМ ; Cu ; VF-XF ; 17 ; Участник № 114 ; 1800 
 116 ; Рубль ; 1792 ; СПБ ЯА TI ; Ag ; XF ; 26 ; Глол ; 22000 
 117 ; Полуполтинник ; 1792 ; СПБ ЯА ; Ag ; VF-XF ; 11 ; кабан ; 5000 
 118 ; 15 копеек (Ильин-3р) ; 1792 ; СПБ ; Ag ; F-VF ; 36 ; ААФ ; 1497 
 119 ; 5 копеек ; 1792 ; ЕМ ; Cu ; XF- ; 17 ; volod ; 563 
 120 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; XF+ ; 17 ; shurawi ; 5000 
 121 ; 5 копеек ; 1793 ; КМ ; Cu ; XF+ ; 45 ; 25 ; 7500 
 122 ; 2 копейки ; 1793 ; Е- М Павл.перечекан ; Cu ; VF+ ; 23 ; cash ; 4773 
 123 ; Денга ; 1793 ; ЕМ ; Cu ; VF ; 13 ; Участник № 523 ; 900 
 124 ; 5 копеек ; 1794 ; ЕМ ; Cu ; XF- ; 15 ; Участник № 114 ; 700 
 125 ; Копейка ; 1794 ; ЕМ ; Cu ; VF+ ; 13 ; Участник № 9 ; 1600 
 126 ; Денга (Петров-6р, Ильин-5р) ; 1794 ;  ; Cu ; F-VF ; 27 ; Участник № 51 ; 6500 
 127 ; 5 копеек ; 1795 ; ЕМ ; Cu ; XF- ; 16 ; Участник № 114 ; 700 
 128 ; 2 копейки ; 1795 ; ЕМ ; Cu ; XF- ; 23 ; Участник № 523 ; 7500 
 129 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 5 ; Участник № 55 ; 1700 
 130 ; Денга ; 1795 ; ЕМ ; Cu ; XF- ; 7 ; Участник № 55 ; 350 
 131 ; 5 копеек ; 1796 ; ЕМ ; Cu ; VF-XF ; 7 ; Участник № 114 ; 750 
 132 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF ; 58 ; Участник № 23 ; 9500 
 133 ; 5 копеек ; 1796 ; АМ ; Cu ; XF ; 9 ; sergfokin ; 1020 
 134 ; 5 копеек ; 1796 ; КМ ; Cu ; VF ; 17 ; Участник № 1205 ; 2400 
 135 ; 2 копейки ; 1797 ; АМ ; Cu ; VF-XF ; 11 ; Участник № 133 ; 750 
 136 ; Деньга ; 1797 ; АМ ; Cu ; VF-XF ; 11 ; Участник № 9 ; 3600 
 137 ; Полушка ; 1797 ; АМ ; Cu ; VF-XF ; 10 ; Участник № 9 ; 1900 
 138 ; Деньга (Ильин-3р) ; 1798 ; КМ ; Cu ; VF+ ; 9 ; Участник № 9 ; 5500 
 139 ; Полушка ; 1798 ; АМ ; Cu ; VF-XF ; 48 ; Участник № 9 ; 7500 
