 6484 ; Альбом R010856 на 168 монет евро регулярного выпуска, с листами. Россия ;  ;  ;  ;  ; 12 ; Anty152 ; 138 
 6345 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 2 ; РО ; 140 
 6346 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 2 ; РО ; 140 
 6347 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 2 ; РО ; 140 
 6348 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 2 ; РО ; 140 
 6349 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 2 ; РО ; 140 
 6350 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 5 ; РО ; 143 
 6351 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6352 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 3 ; РО ; 143 
 6353 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 2 ; ga2012 ; 140 
 6354 ; Почтовая карточка. Pin-Ups Vintage ;  ;  ;  ;  ; 5 ; Тульма ; 143 
 6355 ; Почтовая карточка. Pin-Ups ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6356 ; Почтовая карточка. Pin-Ups ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6357 ; Почтовая карточка. Pin-Ups ;  ;  ;  ;  ; 2 ; Тульма ; 140 
 6358 ; Почтовая карточка. Pin-Ups ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6359 ; Почтовая карточка. Pin-Ups ;  ;  ;  ;  ; 2 ; фюрстен ; 140 
 6360 ; Лот открыток в буклете "Русская армия 1912 года (2 выпуск) ;  ;  ;  ;  ; 29 ; basil ; 663 
 6401 ; Работа Сергея Зиновкина ;  ;  ;  ;  ; 18 ; Slavarik ; 340 
